11.5,8.15174,0.0,18.1,0,0.7,5.39,98.9,1.7281,24,666.0,20.2,20.85
23.2,0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296.0,16.6,10.11
13.3,9.82349,0.0,18.1,0,0.671,6.794,98.8,1.358,24,666.0,20.2,21.24
14.3,5.58107,0.0,18.1,0,0.713,6.436,87.9,2.3158,24,666.0,20.2,16.22
19.8,0.0454399999999999,0.0,3.24,0,0.46,6.144,32.2,5.8736,4,430.0,16.9,9.09
14.2,7.022589999999999,0.0,18.1,0,0.718,6.006,95.3,1.8746,24,666.0,20.2,15.7
23.7,0.28955,0.0,10.59,0,0.489,5.412,9.8,3.5875,4,277.0,18.6,29.55
48.5,0.0351,95.0,2.68,0,0.4161,7.853,33.2,5.118,4,224.0,14.7,3.81
50.0,1.51902,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403.0,14.7,3.32
16.7,4.87141,0.0,18.1,0,0.614,6.484,93.6,2.3053,24,666.0,20.2,18.68
17.9,18.811,0.0,18.1,0,0.597,4.628,100.0,1.5539,24,666.0,20.2,34.37
18.7,0.06151,0.0,5.19,0,0.515,5.968,58.5,4.8122,5,224.0,20.2,9.29
17.2,14.0507,0.0,18.1,0,0.597,6.657,100.0,1.5275,24,666.0,20.2,21.22
17.2,7.40389,0.0,18.1,0,0.597,5.617,97.9,1.4547,24,666.0,20.2,26.4
20.6,2.37857,0.0,18.1,0,0.583,5.871,41.9,3.724,24,666.0,20.2,13.34
46.0,0.06129,20.0,3.33,1,0.4429,7.645,49.7,5.2119,5,216.0,14.9,3.01
19.5,0.1712,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384.0,20.9,18.66
22.6,0.04684,0.0,3.41,0,0.489,6.417,66.1,3.0923,2,270.0,17.8,8.81
16.6,0.2292699999999999,0.0,6.91,0,0.448,6.03,85.5,5.6894,3,233.0,17.9,18.8
18.2,0.7258,0.0,8.14,0,0.538,5.727,69.5,3.7965,4,307.0,21.0,11.28
30.5,0.06911,45.0,3.44,0,0.437,6.739,30.8,6.4798,5,398.0,15.2,4.69
